,Name,Year_of_Birth,Most_Common_Pronoun
130,Ramón Emeterio Betances,1827.0,Male Pronouns
131,Blackbeard,1680.0,Male Pronouns
132,James G. Blaine,1830.0,Male Pronouns
133,Stede Bonnet,400.0,Male Pronouns
134,Daniel Boone,1734.0,Male Pronouns
135,Carsten Borchgrevink,1864.0,Male Pronouns
136,James Bowie,1796.0,Male Pronouns
137,Joel Brand,1906.0,Male Pronouns
138,Isaac Brock,1769.0,Male Pronouns
139,William Speirs Bruce,1867.0,Male Pronouns
140,Guy Burgess,1911.0,Male Pronouns
141,Henry Cornelius Burnett,1825.0,Male Pronouns
142,Pedro Álvares Cabral,1467.0,Male Pronouns
143,William Calcraft,1870.0,Male Pronouns
144,Robert Catesby,1572.0,Male Pronouns
145,Charles Carroll the Settler,1690.0,Male Pronouns
146,Choe Bu,1504.0,Male Pronouns
147,Clarence 13X,1928.0,Male Pronouns
148,Cleopatra,323.0,Female Pronouns
149,Death of Cleopatra,1787.0,Female Pronouns
150,Olga Constantinovna of Russia,1851.0,Female Pronouns
151,William Cooley,1863.0,Male Pronouns
152,William Cragh,1290.0,Male Pronouns
153,Tom Crean (explorer),1938.0,Male Pronouns
154,Jefferson Davis,1861.0,Male Pronouns
155,Death of Blair Peach,1979.0,Male Pronouns
156,Demosthenes,384.0,Male Pronouns
157,Joseph Desha,1768.0,Male Pronouns
158,Thích Quảng Đức,1963.0,Male Pronouns
159,Epaminondas,362.0,Male Pronouns
160,Hiram Wesley Evans,1881.0,Male Pronouns
161,Guy Fawkes,1605.0,Male Pronouns
162,Anne Frank,1929.0,Female Pronouns
163,Pain fitzJohn,1100.0,Male Pronouns
164,James Garrard,1749.0,Male Pronouns
165,Jacob Gens,1903.0,Male Pronouns
166,Nicolo Giraud,1795.0,Male Pronouns
167,Simon Hatley,1685.0,Male Pronouns
168,Richard Hawes,1797.0,Male Pronouns
169,Elwood Haynes,1857.0,Male Pronouns
170,Thomas C. Hindman,1828.0,Male Pronouns
171,Irataba,1814.0,Male Pronouns
172,Frank Jenner,1903.0,Male Pronouns
173,Joan of Arc,1412.0,Female Pronouns
174,John W. Johnston,1818.0,Male Pronouns
175,Ernest Joyce,1875.0,Male Pronouns
176,Shen Kuo,1095.0,Male Pronouns
177,Edward Low,1724.0,Male Pronouns
178,Aeneas Mackintosh,1879.0,Male Pronouns
179,Charles Edward Magoon,1861.0,Male Pronouns
180,Malcolm X,1925.0,Male Pronouns
181,Clements Markham,1830.0,Male Pronouns
182,Ezra Meeker,1830.0,Male Pronouns
183,Menkauhor Kaiu,2390.0,Male Pronouns
184,Harry McNish,1874.0,Male Pronouns
185,Khalid al-Mihdhar,2001.0,Male Pronouns
186,Benjamin Morrell,1795.0,Male Pronouns
187,Mukhtar al-Thaqafi,687.0,Male Pronouns
188,Fridtjof Nansen,1861.0,Male Pronouns
189,Francis Nash,1742.0,Male Pronouns
190,Elizabeth Needham,1769.0,Female Pronouns
191,Hugh de Neville,1234.0,Male Pronouns
192,Nguyễn Chánh Thi,1923.0,Male Pronouns
193,Roger Norreis,1223.0,Male Pronouns
194,Emperor Norton,1863.0,Male Pronouns
195,Mary Margaret O&#39;Reilly,1865.0,Female Pronouns
196,Thomas Percy (Gunpowder Plot),1560.0,Male Pronouns
197,Pericles,429.0,Male Pronouns
198,Phan Đình Phùng,1847.0,Male Pronouns
199,Phan Xích Long,1913.0,Male Pronouns
200,Witold Pilecki,1901.0,Male Pronouns
201,Jean Baptiste Point du Sable,1818.0,Male Pronouns
202,William F. Raynolds,1820.0,Male Pronouns
203,Woodes Rogers,1679.0,Male Pronouns
204,Ambrose Rookwood,1578.0,Male Pronouns
205,John/Eleanor Rykener,1394.0,Male Pronouns
206,Omayra Sánchez,1972.0,Female Pronouns
207,Robert Falcon Scott,1868.0,Male Pronouns
208,Laura Secord,1812.0,Female Pronouns
209,Ernest Shackleton,1874.0,Male Pronouns
210,Wail al-Shehri,2001.0,Male Pronouns
211,Jack Sheppard,1702.0,Male Pronouns
212,John Sherman,1823.0,Male Pronouns
213,Sabrina Sidney,1757.0,Male Pronouns
